x,exp(x),Taylor,Cheby,sin(x),Taylor,Cheby,cos(x),Taylor,Cheby,tan(x),Taylor,Cheby,asin(x),Taylor,Cheby,acos(x),Taylor,Cheby,atan(x),Taylor,Cheby,csc(x + 2),Taylor,Cheby,sec(x),Taylor,Cheby,cot(x + 2),Taylor,Cheby,acsc(x + 2),Taylor,Cheby,asec(x + 2),Taylor,Cheby,acot(x + 2),Taylor,Cheby
-1,0.3678794412,0.3678571429,0.3678790816,-0.8414709848,-0.841468254,-0.8414709654,0.5403023059,0.5402777778,0.5403019475,-1.557407725,-1.520634921,-1.556746196,-1.570796327,-1.286309524,-1.502493541,3.141592654,2.857105851,3.073289868,-0.7853981634,-0.7238095238,-0.7852605626,1.188395106,1.022618229,1.131669366,1.850815718,1.793055556,1.848919817,0.6420926159,0.8000603233,0.6986647164,1.570796327,1.262499355,1.491367559,0,0.3082969719,0.07942876779,1.570796327,1.563969592,1.570687794
-0.998,0.3686159363,0.3685939878,0.368615607,-0.840388698,-0.8403860158,-0.8403886807,0.5419841661,0.5419600267,0.5419838383,-1.550577951,-1.51455987,-1.549997308,-1.507540228,-1.281943254,-1.492381253,3.078336555,2.852739581,3.06317758,-0.7843971627,-0.7238015504,-0.7842739134,1.186873315,1.023589141,1.13448103,1.845072352,1.788384285,1.843354708,0.6392716689,0.7948860964,0.691524989,1.50760341,1.258817651,1.482290795,0.06319291646,0.3119786763,0.08850553198,1.568796329,1.562093599,1.568697781
-0.996,0.3693539059,0.3693323024,0.3693536057,-0.8393030496,-0.8393004153,-0.8393030344,0.5436638584,0.5436401022,0.5436635601,-1.543790408,-1.508512383,-1.543286388,-1.481323767,-1.277594366,-1.482398153,3.052120093,2.848390692,3.05319448,-0.7833941581,-0.7237777361,-0.7832846471,1.185360153,1.024536183,1.137159892,1.839371855,1.783737061,1.837824927,0.6364579261,0.7897492947,0.6845332773,1.481502295,1.255155429,1.473327164,0.08929403138,0.3156408981,0.09746916318,1.566796348,1.560215649,1.566707391
-0.994,0.3700933529,0.3700720897,0.3700930808,-0.838214044,-0.8382114568,-0.8382140308,0.5453413761,0.5453179978,0.5453411061,-1.537044649,-1.502492289,-1.536613141,-1.461196969,-1.273262741,-1.472542546,3.031993296,2.844059068,3.043338873,-0.7823891454,-0.7237382386,-0.7822927749,1.183855573,1.025459668,1.139708669,1.833713787,1.779113761,1.832330246,0.6336513376,0.7846495439,0.6776867867,1.461524621,1.251512571,1.464475359,0.1092717054,0.3192837555,0.1063209676,1.564796399,1.558335784,1.564716651
-0.992,0.3708342803,0.3708133527,0.3708340352,-0.8371216855,-0.8371191448,-0.8371216742,0.5470167124,0.5469937068,0.5470164696,-1.530340238,-1.496499422,-1.529977271,-1.444220741,-1.268948262,-1.462812751,3.015017068,2.839744589,3.033609077,-0.7813821207,-0.7236832142,-0.7812983083,1.182359531,1.026359908,1.142130042,1.828097711,1.774514267,1.826870438,0.6308518536,0.7795864722,0.6709827578,1.444724694,1.247888961,1.455734087,0.1260716323,0.322907366,0.1150622398,1.562796497,1.556454048,1.562725585
-0.99,0.371576691,0.3715560944,0.371576472,-0.8360259786,-0.8360234835,-0.8360259691,0.5486898606,0.5486672224,0.5486896441,-1.523676741,-1.490533613,-1.523378487,-1.429256853,-1.264650814,-1.453207104,3.00005318,2.835447141,3.024003431,-0.7803730801,-0.7236128174,-0.7803012582,1.180871983,1.027237209,1.144426659,1.822523199,1.769938459,1.821445278,0.628059425,0.7745597114,0.6644184661,1.429960453,1.24428448,1.447102064,0.1408358736,0.3265118465,0.123694263,1.56079666,1.55457048,1.560734219
-0.988,0.3723205881,0.3723003178,0.372320394,-0.8349269276,-0.8349244774,-0.8349269197,0.550360814,0.5503385382,0.5503606228,-1.517053733,-1.484594696,-1.516816499,-1.415721654,-1.26037028,-1.443723959,2.986517981,2.831166607,3.014520286,-0.7793620194,-0.7235272016,-0.7793016352,1.179392886,1.028091878,1.146601131,1.816989826,1.765386218,1.816054544,0.6252740028,0.7695688963,0.6579912215,1.416645647,1.240699014,1.438578018,0.1541506802,0.3300973132,0.1322183092,1.558796903,1.552685125,1.558742577
-0.986,0.3730659744,0.373046026,0.3730658044,-0.8338245368,-0.8338221308,-0.8338245306,0.5520295661,0.5520076475,0.552029399,-1.510470794,-1.478682506,-1.510291018,-1.403268483,-1.256106545,-1.434361686,2.97406481,2.826902872,3.005158013,-0.7783489347,-0.7234265183,-0.77829945,1.177922194,1.028924216,1.148656039,1.811497176,1.760857426,1.810698013,0.6224955385,0.7646136645,0.6516983683,1.4044317,1.237132445,1.430160688,0.1663646264,0.3336638815,0.1406356388,1.556797241,1.550798022,1.556750684
-0.984,0.3738128529,0.373793222,0.373812706,-0.8327188108,-0.8327164482,-0.832718806,0.55369611,0.5536745436,0.5536959661,-1.503927508,-1.472796879,-1.503801759,-1.391671512,-1.251859495,-1.425118669,2.962467839,2.822655822,2.995914996,-0.7773338221,-0.7233109179,-0.7772947127,1.176459866,1.029734524,1.150593929,1.806044836,1.756351965,1.805375464,0.619723984,0.7596936571,0.645537285,1.393091294,1.23358466,1.421848826,0.177705033,0.3372116664,0.1489475013,1.554797692,1.548909213,1.554758566
-0.982,0.3745612268,0.3745419088,0.374561102,-0.8316097538,-0.8316074341,-0.8316097506,0.5553604391,0.55533922,0.5553603175,-1.497423466,-1.466937651,-1.497348438,-1.380773903,-1.247629017,-1.415993311,2.95157023,2.818425344,2.986789638,-0.7763166774,-0.7231805492,-0.7762874334,1.175005858,1.030523098,1.152417311,1.800632399,1.751869718,1.800086677,0.6169592914,0.7548085178,0.6395053834,1.382466386,1.230055545,1.413641192,0.1883299404,0.3407407821,0.1571551347,1.55279827,1.547018738,1.552766245
