Degree,Error,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby
1,RMSE,0.2467,0.1626,0.0608,0.0239,0.2111,0.139,0.1867,0.0878,0.1252,0.0706,0.1252,0.0706,0.0886,0.0305,1.0544,0.7727,0.325,0.2329,0.9972,0.7143,0.1445,0.1006,0.1445,0.1006,0.1098,0.0711
,MAPE,19.3118,15.9712,5.9951,5.9275,22.6816,15.6285,11.6242,17.4208,7.4405,12.7044,11.4658,6.8515,9.8117,8.2479,22.2023,36.3589,15.883,15.5342,60.1033,92.0412,11.4015,13.4177,18.5355,13.5573,9.8921,7.9398
,R^2,0.8596,0.939,0.9865,0.9979,-1.3056,-0.0004,0.9377,0.9862,0.9666,0.9894,0.9666,0.9894,0.968,0.9962,0.0739,0.5027,-0.9492,-0.0006,0.5149,0.7511,0.6685,0.8394,0.6685,0.8394,0.8814,0.9502
2,RMSE,0.0672,0.0269,0.0608,0.0239,0.0136,0.0031,0.1867,0.0878,0.1252,0.0706,0.1252,0.0706,0.0886,0.0305,0.814,0.4402,0.1057,0.0316,0.8444,0.4589,0.0914,0.0472,0.0914,0.0472,0.0236,0.0079
,MAPE,5.0549,2.6884,5.9951,5.9275,1.2516,0.339,11.6242,17.4208,7.4405,12.7044,11.4658,6.8515,9.8117,8.2479,10.845,20.3398,3.9113,2.1518,48.666,242.045,5.5978,6.074,11.3092,6.306,2.3454,0.9553
,R^2,0.9896,0.9983,0.9865,0.9979,0.9905,0.9995,0.9377,0.9862,0.9666,0.9894,0.9666,0.9894,0.968,0.9962,0.4481,0.8386,0.7937,0.9816,0.6521,0.8972,0.8673,0.9646,0.8673,0.9646,0.9945,0.9994
3,RMSE,0.0146,0.0034,0.0025,0.0003,0.0136,0.0031,0.0621,0.0115,0.0659,0.0258,0.0659,0.0258,0.0385,0.0032,0.6854,0.2722,0.1057,0.0316,0.6734,0.2675,0.0641,0.0264,0.0641,0.0264,0.0104,0.0023
,MAPE,1.0462,0.3395,0.1862,0.0877,1.2516,0.339,2.8282,2.6862,2.6682,4.98,5.6856,2.3726,3.2557,1.0041,9.0982,13.0209,3.9113,2.1518,19.295,116.3413,3.152,3.2619,7.6753,3.4374,0.4841,0.2065
,R^2,0.9995,1,1,1,0.9905,0.9995,0.9931,0.9998,0.9908,0.9986,0.9908,0.9986,0.994,1,0.6088,0.9383,0.7937,0.9816,0.7787,0.9651,0.9348,0.989,0.9348,0.989,0.9989,1
4,RMSE,0.0026,0.0003,0.0025,0.0003,0.0004,0,0.0621,0.0115,0.0659,0.0258,0.0659,0.0258,0.0385,0.0032,0.5599,0.1612,0.0367,0.0042,0.5656,0.1625,0.0484,0.0172,0.0484,0.0172,0.0104,0.0012
,MAPE,0.179,0.0343,0.1862,0.0877,0.0314,0.0029,2.8282,2.6862,2.6682,4.98,5.6856,2.3726,3.2557,1.0041,5.9799,7.7385,1.1304,0.2877,13.3472,43.5503,1.9728,2.0371,5.6338,2.1657,0.4841,0.1342
,R^2,1,1,1,1,1,1,0.9931,0.9998,0.9908,0.9986,0.9908,0.9986,0.994,1,0.7389,0.9784,0.9751,0.9997,0.8439,0.9871,0.9627,0.9953,0.9627,0.9953,0.9989,1
5,RMSE,0.0004,0,0.0001,0,0.0004,0,0.022,0.0015,0.0447,0.015,0.0447,0.015,0.0223,0.0004,0.4707,0.0972,0.0367,0.0042,0.4681,0.0969,0.0387,0.0126,0.0387,0.0126,0.0054,0.0003
,MAPE,0.0261,0.0029,0.0032,0.0006,0.0314,0.0029,0.8236,0.3895,1.4302,2.883,3.6733,1.302,1.5804,0.1368,4.7527,4.7243,1.1304,0.2877,7.8778,52.8317,1.3411,1.4257,4.3816,1.5383,0.327,0.033
,R^2,1,1,1,1,1,1,0.9991,1,0.9957,0.9995,0.9957,0.9995,0.998,1,0.8155,0.9921,0.9751,0.9997,0.8931,0.9954,0.9762,0.9975,0.9762,0.9975,0.9997,1
6,RMSE,0.0001,0,0.0001,0,0,0,0.022,0.0015,0.0447,0.015,0.0447,0.015,0.0223,0.0004,0.393,0.0582,0.0133,0.0005,0.3942,0.0583,0.0322,0.0101,0.0322,0.0101,0.0015,0
,MAPE,0.0033,0.0002,0.0032,0.0006,0.0004,0,0.8236,0.3895,1.4302,2.883,3.6733,1.302,1.5804,0.1368,3.5147,2.8367,0.3557,0.0381,5.7731,21.2837,0.9721,1.0787,3.5561,1.2013,0.1145,0.0028
,R^2,1,1,1,1,1,1,0.9991,1,0.9957,0.9995,0.9957,0.9995,0.998,1,0.8713,0.9972,0.9968,1,0.9242,0.9983,0.9835,0.9984,0.9835,0.9984,1,1
7,RMSE,0,0,0,0,0,0,0.008,0.0002,0.034,0.011,0.034,0.011,0.0149,0.0001,0.3318,0.035,0.0133,0.0005,0.3312,0.0349,0.0276,0.0085,0.0276,0.0085,0.0011,0
,MAPE,0.0004,0,0,0,0.0004,0,0.2609,0.0547,0.9172,1.9824,2.6723,0.9431,0.9257,0.0197,2.7861,1.7098,0.3557,0.0381,4.1058,12.762,0.7404,0.8588,2.9788,1.0081,0.0396,0.0029
,R^2,1,1,1,1,1,1,0.9999,1,0.9975,0.9997,0.9975,0.9997,0.9991,1,0.9083,0.999,0.9968,1,0.9465,0.9994,0.9879,0.9988,0.9879,0.9988,1,1
8,RMSE,0,0,0,0,0,0,0.008,0.0002,0.034,0.011,0.034,0.011,0.0149,0.0001,0.28,0.021,0.0049,0.0001,0.2803,0.021,0.0242,0.0075,0.0242,0.0075,0.0011,0
,MAPE,0,0,0,0,0,0,0.2609,0.0547,0.9172,1.9824,2.6723,0.9431,0.9257,0.0197,2.1699,1.0253,0.1179,0.005,3.1659,11.3256,0.5859,0.7061,2.5552,0.8894,0.0396,0.0011
,R^2,1,1,1,1,1,1,0.9999,1,0.9975,0.9997,0.9975,0.9997,0.9991,1,0.9347,0.9996,0.9996,1,0.9617,0.9998,0.9907,0.9991,0.9907,0.9991,1,1
9,RMSE,0,0,0,0,0,0,0.003,0,0.0275,0.0088,0.0275,0.0088,0.0108,0,0.2375,0.0126,0.0049,0.0001,0.2373,0.0126,0.0216,0.0067,0.0216,0.0067,0.0006,0
,MAPE,0,0,0,0,0,0,0.0869,0.0075,0.6505,1.4612,2.0792,0.7927,0.6061,0.0029,1.7376,0.6142,0.1179,0.005,2.4341,3.6362,0.4777,0.5919,2.2321,0.8082,0.0302,0.0002
,R^2,1,1,1,1,1,1,1,1,0.9984,0.9998,0.9984,0.9998,0.9995,1,0.953,0.9999,0.9996,1,0.9725,0.9999,0.9926,0.9993,0.9926,0.9993,1,1
10,RMSE,0,0,0,0,0,0,0.003,0,0.0275,0.0088,0.0275,0.0088,0.0108,0,0.2016,0.0076,0.0018,0,0.2017,0.0076,0.0195,0.006,0.0195,0.006,0.0002,0
,MAPE,0,0,0,0,0,0,0.0869,0.0075,0.6505,1.4612,2.0792,0.7927,0.6061,0.0029,1.3894,0.3668,0.0404,0.0007,1.9309,3.2744,0.3987,0.5022,1.9779,0.7505,0.0116,0.0001
,R^2,1,1,1,1,1,1,1,1,0.9984,0.9998,0.9984,0.9998,0.9995,1,0.9661,1,0.9999,1,0.9802,1,0.994,0.9994,0.994,0.9994,1,1
15,RMSE,0,0,0,0,0,0,0.0002,0,0.0178,0.0051,0.0178,0.0051,0.0055,0,0.0916,0.0006,0.0003,0,0.0916,0.0006,0.0133,0.0038,0.0133,0.0038,0,0
,MAPE,0,0,0,0,0,0,0.0038,0,0.3177,0.5951,1.2109,0.4545,0.2448,0,0.5064,0.0268,0.0051,0,0.6734,0.1426,0.2025,0.2254,1.2392,0.4691,0.0007,0
,R^2,1,1,1,1,1,1,1,1,0.9993,0.9999,0.9993,0.9999,0.9999,1,0.993,1,1,1,0.9959,1,0.9972,0.9998,0.9972,0.9998,1,1
20,RMSE,0,0,0,0,0,0,0,0,0.0145,0.0036,0.0145,0.0036,0.004,0,0.0428,0,0,0,0.0428,0,0.0103,0.0025,0.0103,0.0025,0,0
,MAPE,0,0,0,0,0,0,0.0005,0,0.2272,0.2932,0.9309,0.2974,0.1585,0,0.2022,0.0018,0.0003,0,0.2643,0.0127,0.1273,0.0923,0.8844,0.2765,0.0001,0
,R^2,1,1,1,1,1,1,1,1,0.9996,1,0.9996,1,0.9999,1,0.9985,1,1,1,0.9991,1,0.9983,0.9999,0.9983,0.9999,1,1
25,RMSE,0,0,0,0,0,0,0,0,0.0115,0.0026,0.0115,0.0026,0.0027,0,0.0204,0,0,0,0.0204,0,0.0084,0.0019,0.0084,0.0019,0,0
,MAPE,0,0,0,0,0,0,0,0,0.1541,0.0859,0.6792,0.1769,0.095,0,0.0852,0.0001,0,0,0.1103,0.001,0.0896,0.0349,0.6775,0.1788,0,0
,R^2,1,1,1,1,1,1,1,1,0.9997,1,0.9997,1,1,1,0.9997,1,1,1,0.9998,1,0.9989,0.9999,0.9989,0.9999,1,1
