Degree,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby
1,19.3118,15.9712,5.9951,5.9275,22.6816,15.6285,11.6242,17.4208,7.4405,12.7044,11.4658,6.8515,9.8117,8.2479,22.2023,36.3589,15.883,15.5342,60.1033,92.0412,11.4015,13.4177,18.5355,13.5573,9.8921,7.9398
2,5.0549,2.6884,5.9951,5.9275,1.2516,0.339,11.6242,17.4208,7.4405,12.7044,11.4658,6.8515,9.8117,8.2479,10.845,20.3398,3.9113,2.1518,48.666,242.045,5.5978,6.074,11.3092,6.306,2.3454,0.9553
3,1.0462,0.3395,0.1862,0.0877,1.2516,0.339,2.8282,2.6862,2.6682,4.98,5.6856,2.3726,3.2557,1.0041,9.0982,13.0209,3.9113,2.1518,19.295,116.3413,3.152,3.2619,7.6753,3.4374,0.4841,0.2065
4,0.179,0.0343,0.1862,0.0877,0.0314,0.0029,2.8282,2.6862,2.6682,4.98,5.6856,2.3726,3.2557,1.0041,5.9799,7.7385,1.1304,0.2877,13.3472,43.5503,1.9728,2.0371,5.6338,2.1657,0.4841,0.1342
5,0.0261,0.0029,0.0032,0.0006,0.0314,0.0029,0.8236,0.3895,1.4302,2.883,3.6733,1.302,1.5804,0.1368,4.7527,4.7243,1.1304,0.2877,7.8778,52.8317,1.3411,1.4257,4.3816,1.5383,0.327,0.033
6,0.0033,0.0002,0.0032,0.0006,0.0004,0,0.8236,0.3895,1.4302,2.883,3.6733,1.302,1.5804,0.1368,3.5147,2.8367,0.3557,0.0381,5.7731,21.2837,0.9721,1.0787,3.5561,1.2013,0.1145,0.0028
7,0.0004,0,0,0,0.0004,0,0.2609,0.0547,0.9172,1.9824,2.6723,0.9431,0.9257,0.0197,2.7861,1.7098,0.3557,0.0381,4.1058,12.762,0.7404,0.8588,2.9788,1.0081,0.0396,0.0029
8,0,0,0,0,0,0,0.2609,0.0547,0.9172,1.9824,2.6723,0.9431,0.9257,0.0197,2.1699,1.0253,0.1179,0.005,3.1659,11.3256,0.5859,0.7061,2.5552,0.8894,0.0396,0.0011
9,0,0,0,0,0,0,0.0869,0.0075,0.6505,1.4612,2.0792,0.7927,0.6061,0.0029,1.7376,0.6142,0.1179,0.005,2.4341,3.6362,0.4777,0.5919,2.2321,0.8082,0.0302,0.0002
10,0,0,0,0,0,0,0.0869,0.0075,0.6505,1.4612,2.0792,0.7927,0.6061,0.0029,1.3894,0.3668,0.0404,0.0007,1.9309,3.2744,0.3987,0.5022,1.9779,0.7505,0.0116,0.0001
15,0,0,0,0,0,0,0.0038,0,0.3177,0.5951,1.2109,0.4545,0.2448,0,0.5064,0.0268,0.0051,0,0.6734,0.1426,0.2025,0.2254,1.2392,0.4691,0.0007,0
20,0,0,0,0,0,0,0.0005,0,0.2272,0.2932,0.9309,0.2974,0.1585,0,0.2022,0.0018,0.0003,0,0.2643,0.0127,0.1273,0.0923,0.8844,0.2765,0.0001,0
25,0,0,0,0,0,0,0,0,0.1541,0.0859,0.6792,0.1769,0.095,0,0.0852,0.0001,0,0,0.1103,0.001,0.0896,0.0349,0.6775,0.1788,0,0
