Degree,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby,Taylor,Cheby
1,0.2467,0.1626,0.0608,0.0239,0.2111,0.139,0.1867,0.0878,0.1252,0.0706,0.1252,0.0706,0.0886,0.0305,1.0544,0.7727,0.325,0.2329,0.9972,0.7143,0.1445,0.1006,0.1445,0.1006,0.1098,0.0711
2,0.0672,0.0269,0.0608,0.0239,0.0136,0.0031,0.1867,0.0878,0.1252,0.0706,0.1252,0.0706,0.0886,0.0305,0.814,0.4402,0.1057,0.0316,0.8444,0.4589,0.0914,0.0472,0.0914,0.0472,0.0236,0.0079
3,0.0146,0.0034,0.0025,0.0003,0.0136,0.0031,0.0621,0.0115,0.0659,0.0258,0.0659,0.0258,0.0385,0.0032,0.6854,0.2722,0.1057,0.0316,0.6734,0.2675,0.0641,0.0264,0.0641,0.0264,0.0104,0.0023
4,0.0026,0.0003,0.0025,0.0003,0.0004,0,0.0621,0.0115,0.0659,0.0258,0.0659,0.0258,0.0385,0.0032,0.5599,0.1612,0.0367,0.0042,0.5656,0.1625,0.0484,0.0172,0.0484,0.0172,0.0104,0.0012
5,0.0004,0,0.0001,0,0.0004,0,0.022,0.0015,0.0447,0.015,0.0447,0.015,0.0223,0.0004,0.4707,0.0972,0.0367,0.0042,0.4681,0.0969,0.0387,0.0126,0.0387,0.0126,0.0054,0.0003
6,0.0001,0,0.0001,0,0,0,0.022,0.0015,0.0447,0.015,0.0447,0.015,0.0223,0.0004,0.393,0.0582,0.0133,0.0005,0.3942,0.0583,0.0322,0.0101,0.0322,0.0101,0.0015,0
7,0,0,0,0,0,0,0.008,0.0002,0.034,0.011,0.034,0.011,0.0149,0.0001,0.3318,0.035,0.0133,0.0005,0.3312,0.0349,0.0276,0.0085,0.0276,0.0085,0.0011,0
8,0,0,0,0,0,0,0.008,0.0002,0.034,0.011,0.034,0.011,0.0149,0.0001,0.28,0.021,0.0049,0.0001,0.2803,0.021,0.0242,0.0075,0.0242,0.0075,0.0011,0
9,0,0,0,0,0,0,0.003,0,0.0275,0.0088,0.0275,0.0088,0.0108,0,0.2375,0.0126,0.0049,0.0001,0.2373,0.0126,0.0216,0.0067,0.0216,0.0067,0.0006,0
10,0,0,0,0,0,0,0.003,0,0.0275,0.0088,0.0275,0.0088,0.0108,0,0.2016,0.0076,0.0018,0,0.2017,0.0076,0.0195,0.006,0.0195,0.006,0.0002,0
15,0,0,0,0,0,0,0.0002,0,0.0178,0.0051,0.0178,0.0051,0.0055,0,0.0916,0.0006,0.0003,0,0.0916,0.0006,0.0133,0.0038,0.0133,0.0038,0,0
20,0,0,0,0,0,0,0,0,0.0145,0.0036,0.0145,0.0036,0.004,0,0.0428,0,0,0,0.0428,0,0.0103,0.0025,0.0103,0.0025,0,0
25,0,0,0,0,0,0,0,0,0.0115,0.0026,0.0115,0.0026,0.0027,0,0.0204,0,0,0,0.0204,0,0.0084,0.0019,0.0084,0.0019,0,0
